YEAR,MONTH,DAY,ORDER,COUNTRY,LOCATION,PRICE,PAGE
2008,4,30,14,29,1,38,3
2008,4,29,3,29,2,43,1
2008,4,6,6,19,4,33,3
2008,4,26,1,29,6,33,1
2008,4,9,6,9,4,38,1
2008,4,25,10,29,4,38,1
2008,4,21,2,29,2,43,3
2008,4,26,8,29,2,48,1
2008,4,21,6,3,3,28,2
2008,4,26,5,29,1,43,3
2008,4,8,20,29,2,33,2
2008,4,8,37,29,2,57,2
2008,4,12,27,9,1,38,3
2008,4,20,25,29,6,33,4
2008,4,9,5,29,2,33,2
2008,4,29,7,29,6,33,1
2008,4,3,1,29,1,28,1
2008,4,30,1,29,2,28,2
2008,4,24,4,29,5,48,1
2008,4,13,7,29,2,28,4
2008,4,16,9,9,1,38,3
2008,4,21,21,3,5,33,3
2008,4,13,9,29,3,48,2
2008,4,28,3,16,1,43,1
2008,4,2,9,29,4,48,5
2008,4,15,17,29,2,43,3
2008,4,20,26,29,6,33,4
2008,4,4,5,29,3,48,1
2008,4,11,4,9,2,43,1
2008,4,7,16,24,4,43,4
2008,4,13,1,29,5,33,1
2008,4,22,1,9,2,38,1
2008,4,12,45,9,1,38,3
2008,4,26,14,29,3,23,1
2008,4,13,25,29,3,28,5
2008,4,6,11,19,1,33,4
2008,4,1,2,29,1,67,2
2008,4,15,1,29,6,48,1
2008,4,3,22,29,4,38,1
2008,4,6,1,9,2,28,3
2008,4,22,9,29,4,33,1
2008,4,12,10,9,5,38,2
2008,4,4,18,29,1,48,2
2008,4,5,4,9,4,62,1
2008,4,8,5,29,4,38,1
2008,4,25,1,9,2,38,1
2008,4,13,5,29,1,38,3
2008,4,11,7,29,6,33,2
2008,4,2,8,29,1,38,3
2008,4,11,1,9,3,43,1
2008,4,29,7,29,3,43,1
2008,4,15,5,29,4,38,1
2008,4,6,7,29,4,57,2
2008,4,5,3,29,1,43,1
2008,4,2,19,29,4,38,2
2008,4,13,15,29,1,38,2
2008,4,27,10,29,4,43,1
2008,4,5,3,9,1,57,1
2008,4,3,2,29,5,33,1
2008,4,24,17,29,4,33,3
2008,4,25,3,21,1,28,1
2008,4,8,16,29,5,38,2
2008,4,23,17,29,6,43,2
2008,4,8,61,29,2,62,2
2008,4,3,6,16,3,48,1
2008,4,20,1,29,1,72,1
2008,4,21,4,29,4,28,3
2008,4,26,2,29,4,43,1
2008,4,8,10,29,5,38,1
2008,4,16,3,29,3,57,2
2008,4,20,41,29,4,38,1
2008,4,15,12,29,2,43,1
2008,4,14,15,29,1,57,4
2008,4,22,7,29,2,28,2
2008,4,3,12,16,3,38,3
2008,4,25,26,29,4,33,2
2008,4,26,1,29,1,28,1
2008,4,26,1,9,5,57,2
2008,4,4,2,29,3,43,1
2008,4,10,5,29,2,38,1
2008,4,8,52,29,1,57,1
2008,4,5,6,29,3,62,1
2008,4,8,7,29,2,43,1
2008,4,20,4,29,1,38,1
2008,4,25,2,29,1,28,1
2008,4,10,8,29,4,43,4
2008,4,4,20,29,4,38,1
2008,4,27,3,9,4,62,1
2008,4,6,9,19,5,33,3
2008,4,3,3,29,1,48,1
2008,4,6,1,29,2,43,1
2008,4,21,5,29,6,38,1
2008,4,12,18,9,5,26,3
2008,4,9,1,29,5,62,1
2008,4,4,25,29,1,33,4
2008,4,16,2,29,2,43,1
2008,4,2,1,29,2,38,1
2008,4,9,4,29,6,38,1
2008,4,16,9,29,4,67,1
2008,4,9,3,29,1,72,1
2008,4,26,1,29,2,43,1
2008,4,4,15,29,3,33,2
2008,4,15,2,29,1,57,2
2008,4,11,1,9,5,26,3
2008,4,17,4,9,4,38,1
2008,4,25,1,24,6,52,1
2008,4,12,14,9,6,50,2
2008,4,22,7,29,3,28,3
2008,4,4,1,9,1,57,1
2008,4,25,6,29,3,82,1
2008,4,2,3,29,5,33,1
2008,4,13,1,9,2,38,1
2008,4,9,6,29,3,82,1
2008,4,29,3,29,1,67,2
2008,4,29,12,29,4,28,1
2008,4,5,2,9,1,43,1
2008,4,2,4,29,1,72,1
2008,4,16,11,9,2,43,1
2008,4,8,16,29,3,28,1
2008,4,4,5,29,4,18,3
2008,4,21,5,29,1,33,5
2008,4,11,9,14,5,62,1
2008,4,23,2,29,5,62,2
2008,4,20,3,29,2,28,3
2008,4,27,3,29,3,62,1
2008,4,7,2,9,6,33,1
2008,4,16,4,9,3,62,1
2008,4,29,6,9,4,62,1
2008,4,9,3,29,4,38,1
2008,4,26,3,29,1,33,2
2008,4,1,10,29,5,43,2
2008,4,8,1,9,5,20,3
2008,4,26,2,29,3,57,2
2008,4,24,1,29,1,38,1
2008,4,14,4,29,5,62,2
2008,4,16,10,29,2,28,3
2008,4,5,1,29,3,28,4
2008,4,2,3,29,2,43,1
2008,4,26,13,27,6,28,1
2008,4,25,5,9,3,62,1
2008,4,25,15,29,6,33,4
2008,4,12,44,9,5,20,3
2008,4,8,4,9,4,38,1
2008,4,2,2,29,4,52,2
2008,4,5,1,29,1,62,2
2008,4,21,6,29,4,48,5
2008,4,16,5,9,3,82,1
2008,4,2,3,29,1,67,2
2008,4,9,3,29,2,52,1
2008,4,16,2,9,4,38,1
2008,4,26,2,29,3,38,2
2008,4,23,26,29,6,48,1
2008,4,13,5,29,1,43,3
2008,4,17,4,29,3,43,1
2008,4,7,1,9,1,72,1
2008,4,7,7,9,2,52,1
2008,4,26,1,9,1,28,1
2008,4,7,2,9,1,28,1
2008,4,10,1,29,4,38,2
2008,4,25,22,29,2,43,2
2008,4,13,4,9,1,43,1
2008,4,8,9,29,4,38,2
2008,4,5,5,9,5,60,1
2008,4,11,1,29,3,48,1
2008,4,8,1,9,2,43,1
2008,4,24,20,29,4,48,5
2008,4,2,7,29,6,33,1
2008,4,26,1,29,1,57,1
2008,4,23,8,29,2,23,1
2008,4,12,43,9,6,43,2
2008,4,25,1,29,1,38,1
2008,4,30,13,29,2,28,3
2008,4,15,5,29,1,72,1
2008,4,6,6,29,1,38,3
2008,4,26,3,29,2,33,2
2008,4,7,1,9,4,38,1
2008,4,29,8,29,4,52,2
2008,4,15,3,29,1,62,2
2008,4,15,9,29,1,72,1
2008,4,1,6,29,4,38,1
2008,4,9,2,9,3,62,1
2008,4,3,2,29,4,38,1
2008,4,3,1,29,3,43,1
2008,4,30,5,46,1,43,1
2008,4,17,1,29,5,38,1
2008,4,9,1,29,5,60,1
2008,4,15,3,42,6,38,2
2008,4,6,2,29,4,38,1
2008,4,20,7,29,3,43,2
2008,4,8,11,29,6,38,1
2008,4,2,4,9,1,43,1
2008,4,8,5,29,2,43,1
2008,4,5,8,29,6,33,1
2008,4,25,2,21,3,43,1
2008,4,30,1,29,6,48,2
